entities_processed,system_time_avg,average_wip,max_wip,final_wip,system_time_avg_detailed,system_time_std,system_time_min,system_time_max,Cir_Media_025_queue_time,Cir_Media_025_service_time,Cir_Media_025_system_time,Cir_Grande_015R_queue_time,Cir_Grande_015R_service_time,Cir_Grande_015R_system_time,Limpa_Sala_CC_queue_time,Limpa_Sala_CC_service_time,Limpa_Sala_CC_system_time,Cir_Media_015_queue_time,Cir_Media_015_service_time,Cir_Media_015_system_time,Cir_Grande_060_queue_time,Cir_Grande_060_service_time,Cir_Grande_060_system_time,Adm_Paciente_queue_time,Adm_Paciente_service_time,Adm_Paciente_system_time,Cir_Pequena_025_queue_time,Cir_Pequena_025_service_time,Cir_Pequena_025_system_time,Org_Sala_Kits_queue_time,Org_Sala_Kits_service_time,Org_Sala_Kits_system_time,Remov_Residuos_queue_time,Remov_Residuos_service_time,Remov_Residuos_system_time,Transp_CTI_CC_queue_time,Transp_CTI_CC_service_time,Transp_CTI_CC_system_time,Ato_Anest_queue_time,Ato_Anest_service_time,Ato_Anest_system_time,Cir_Pequena_015R_queue_time,Cir_Pequena_015R_service_time,Cir_Pequena_015R_system_time,Check_Cir_Seg_queue_time,Check_Cir_Seg_service_time,Check_Cir_Seg_system_time,Transp_Ori_CC_queue_time,Transp_Ori_CC_service_time,Transp_Ori_CC_system_time,Cir_Grande_015_queue_time,Cir_Grande_015_service_time,Cir_Grande_015_system_time,Cir_Pequena_060_queue_time,Cir_Pequena_060_service_time,Cir_Pequena_060_system_time,Cir_Media_060_queue_time,Cir_Media_060_service_time,Cir_Media_060_system_time,Sep_MatSujo_queue_time,Sep_MatSujo_service_time,Sep_MatSujo_system_time,Cir_Pequena_015_queue_time,Cir_Pequena_015_service_time,Cir_Pequena_015_system_time,Aviso_Cir_queue_time,Aviso_Cir_service_time,Aviso_Cir_system_time,Cir_Grande_025_queue_time,Cir_Grande_025_service_time,Cir_Grande_025_system_time,Monta_Kits_queue_time,Monta_Kits_service_time,Monta_Kits_system_time,Conf_Registros_queue_time,Conf_Registros_service_time,Conf_Registros_system_time,Cir_Media_015R_queue_time,Cir_Media_015R_service_time,Cir_Media_015R_system_time,Adm_Conf_Pac_queue_time,Adm_Conf_Pac_service_time,Adm_Conf_Pac_system_time,Enfermeiro_utilization,Enfermeiro_avg_queue,Enfermeiro_avg_in_service,Enfermeiro_max_queue,Farmacia_utilization,Farmacia_avg_queue,Farmacia_avg_in_service,Farmacia_max_queue,Tec_Enfermagem_utilization,Tec_Enfermagem_avg_queue,Tec_Enfermagem_avg_in_service,Tec_Enfermagem_max_queue,Eq_Assistencial_CTI_utilization,Eq_Assistencial_CTI_avg_queue,Eq_Assistencial_CTI_avg_in_service,Eq_Assistencial_CTI_max_queue,Eq_Medica_utilization,Eq_Medica_avg_queue,Eq_Medica_avg_in_service,Eq_Medica_max_queue,Anestesista_utilization,Anestesista_avg_queue,Anestesista_avg_in_service,Anestesista_max_queue,Tec_Radiologia_utilization,Tec_Radiologia_avg_queue,Tec_Radiologia_avg_in_service,Tec_Radiologia_max_queue,Eq_Radiologia_utilization,Eq_Radiologia_avg_queue,Eq_Radiologia_avg_in_service,Eq_Radiologia_max_queue,Func_CME_utilization,Func_CME_avg_queue,Func_CME_avg_in_service,Func_CME_max_queue,Eq_Higienizacao_utilization,Eq_Higienizacao_avg_queue,Eq_Higienizacao_avg_in_service,Eq_Higienizacao_max_queue,Origem_Paciente_Pac_CTI_percentage,Origem_Paciente_Pac_Outros_percentage,Porte_Cir_Cir Pequeno_percentage,Porte_Cir_Cir Medio_percentage,Porte_Cir_Cir Grande_percentage,Faz_Rad_Cir_P_Cir_P_Sem_Radio_percentage,Faz_Rad_Cir_P_Cir_P_Com_Radio_percentage,Faz_Rad_Cir_M_Cir_M_Sem_Radio_percentage,Faz_Rad_Cir_M_Cir_M_Com_Radio_percentage,Faz_Rad_Cir_G_Cir_G_Sem_Radio_percentage,Faz_Rad_Cir_G_Cir_G_Com_Radio_percentage,total_revenue,total_costs,net_profit,avg_revenue_per_entity,avg_cost_per_entity,avg_profit_per_entity,Aviso_total_cost,Monta_total_cost,Org_total_cost,Transp_total_cost,Adm_total_cost,Check_total_cost,Ato_total_cost,Cir_total_cost,Remov_total_cost,Sep_total_cost,Limpa_total_cost
448,260.02328476411714,2.9153766853163607,12,5,260.02328476411714,92.6707370404086,111.94433801006744,653.0188677627448,2.1662439994732345,25.904570685430688,28.070814684903922,7.253139990847199,13.872196424366615,21.125336415213816,3.9090603362637233,12.071155252440715,15.980215588704437,3.8577771478914777,15.892100834823804,19.74987798271528,2.810942214686494,62.30131022893274,65.11225244361924,0.9761340826482398,1.70095490838398,2.6770889910322198,1.9921993518702934,14.47849450639569,16.47069385826598,1.1486931935560218,10.457202485943235,11.605895679499255,1.6223384155953369,2.09516797696131,3.7175063925566474,3.5858074761261003,37.53031075837079,41.11611823449689,0.38776057704823635,27.372001087104522,27.75976166415276,8.480699309697048,7.0853788328487335,15.56607814254578,2.6898082990268386,1.7002485873672437,4.390056886394082,1.1883683134256247,14.646799319150878,15.835167632576502,2.55657682719193,14.655176837859875,17.211753665051805,2.5231423244798834,36.79588846483011,39.31903078930999,3.3694154430880623,71.24436411930829,74.61377956239635,6.032562414107393,2.289146260159064,8.321708674266457,2.8456705779047713,9.269853818787233,12.115524396692004,3.6966939142114876,5,8.696693914211489,1.6990825895081074,22.71362495871758,24.41270754822569,4.233685965674591,5,9.233685965674592,5.074912149633848,10.828608542429631,15.90352069206348,6.916481374736891,13.859153292648934,20.775634667385827,1.3250779649704612,1.6972026464909415,3.0222806114614027,0.28968274117979453,0.16922547969532764,0.28968274117979453,3,0.3444877006396993,0.08849521417737653,0.6889754012793986,2,0.708058053446318,0.2659533810270458,2.832232213785272,7,0.05514112201356821,0.9306063288664189,0.05514112201356821,2,0.6208360583979827,0.13956457037405645,1.8625081751939483,4,0.4406989672150049,0.07002865296765752,2.2034948360750244,4,0.3122047284800607,0.0976821179752226,0.6244094569601214,3,0.2925235256924323,0.1140379480280551,0.5850470513848646,2,0.07738651346484045,0.19931171930804886,0.07738651346484045,3,0.36469690190067555,0.14690448994960004,0.7293938038013511,3,12.984496124031008,87.01550387596899,29.377431906614788,30.739299610894943,39.88326848249027,61.58940397350994,38.41059602649007,61.78343949044586,38.21656050955414,56.15763546798029,43.84236453201971,849846.2847062125,2704388.7350434894,-1854542.4503372768,1896.978314076367,6036.5819978649315,-4139.603683788564,72851.23594241381,72590.42956460611,148063.1410578926,209.59958048115152,218719.08129864422,72971.89758876932,381200.47216899553,1368046.7513385557,72688.69725703482,72859.58777982685,224187.84146626943
450,273.97634619088984,3.0696363904307025,16,4,273.9763461908898,129.44961072930963,100.52427794238974,860.5943871941417,1.7601430276456613,23.60691285274589,25.36705588039155,4.421972363295059,15.112541320403281,19.53451368369834,3.8819734273709763,12.127811547357775,16.009784974728753,2.4893146528509678,16.90637501093788,19.395689663788847,2.0675687497619126,58.56210002085101,60.62966877061293,0.9346423754013348,1.6983965329057416,2.633038908307076,1.9920857331182062,18.557641475317876,20.54972720843608,1.5366019575453902,10.501145474644446,12.037747432189835,1.5415003324597334,2.227094244078782,3.768594576538516,3.014512670813159,39.1304018719829,42.14491454279605,0.23174972528504845,26.672145908330567,26.903895633615615,6.764390359335668,6.953396464329724,13.717786823665392,2.223559183212094,1.703339773189396,3.9268989564014896,1.5646610839782886,14.725797337471008,16.290458421449294,3.4559933246791843,13.216177985055305,16.67217130973449,2.8024497112331983,46.362148334869104,49.1645980461023,2.133884598386511,62.28642164824986,64.42030624663637,5.660524521583184,2.2852078180960076,7.945732339679192,2.8112450656148504,7.759766538127211,10.571011603742061,2.9081227227039745,5,7.9081227227039745,2.136431364729236,25.438969029826808,27.575400394556045,2.721744813464831,5,7.721744813464832,5.122492204829844,10.482524203394176,15.60501640822402,6.463446976203386,12.789492718941748,19.252939695145134,1.5478475423163318,1.6992528055388334,3.247100347855165,0.2764791340969575,0.1832088742514413,0.2764791340969575,3,0.3348295590296162,0.0974367212645216,0.6696591180592324,2,0.7178108443123112,0.27619750627993916,2.871243377249245,6,0.05234654923634202,0.9495480311684026,0.05234654923634202,2,0.6253730986920674,0.10890612387179409,1.876119296076202,6,0.4055162519697223,0.04367123406779019,2.0275812598486116,3,0.32582301087655274,0.09948656487848688,0.6516460217531055,4,0.2577911288169957,0.09561572925598234,0.5155822576339913,2,0.07492425614415271,0.23915336461164602,0.07492425614415271,2,0.3584241404260441,0.08892188242628504,0.7168482808520882,3,11.155378486055776,88.84462151394422,27.54491017964072,28.343313373253494,44.11177644710579,64.4927536231884,35.507246376811594,61.702127659574465,38.297872340425535,57.9185520361991,42.081447963800905,857243.4952717698,2718116.9726208784,-1860873.4773491086,1904.9855450483774,6040.259939157508,-4135.27439410913,73111.99106401605,73238.33735239993,148036.36542123242,235.30149143721223,219317.65371108588,73172.96136516269,381561.31401253166,1378757.1254376583,72921.49074329666,73095.38409226412,224669.04792979357
419,238.0393380486069,2.4809075115469352,13,4,238.0393380486069,88.81401388508179,89.4547830254669,623.6642299132127,1.5823991788102527,27.15099005423254,28.733389233042793,3.0327702665175837,12.810304194194218,15.8430744607118,4.067812462947803,12.037041509385757,16.10485397233356,2.5088563971777753,16.82818487010779,19.337041267285567,2.3669208033039926,54.40952830850723,56.776449111811225,0.45867423503874993,1.6978178426344925,2.1564920776732426,1.0675403239389394,16.23511802861761,17.302658352556552,0.7710199374541757,10.456350933825117,11.227370871279293,1.2276800724516208,2.295728602529038,3.523408674980659,1.1722579899929972,39.360721040647036,40.532979030640035,0.4159201179279464,27.023822786220876,27.439742904148822,5.53646428779156,8.77066232981471,14.30712661760627,1.7791613206536807,1.697020564236292,3.476181884889973,0.8204350151173034,14.662020083223295,15.482455098340598,3.016935385163859,12.717136836439227,15.734072221603087,2.1704273650153105,36.5783743073039,38.74880167231922,1.6154755937704544,56.06446684913908,57.679942442909535,6.086312505410149,2.0670578509299893,8.153370356340139,1.6973198722584648,8.063948819864537,9.761268692123002,3.0807126134371594,5,8.080712613437159,1.4886284117761543,23.82857401922537,25.317202431001526,3.616966336036778,5,8.616966336036779,4.667486055217397,10.299115304679551,14.966601359896949,8.084677027842272,15.181865847255928,23.2665428750982,0.8188694467034022,1.697924155832064,2.5167936025354662,0.29780760227911957,0.19444520456492348,0.29780760227911957,2,0.3545131875416397,0.08961736987042337,0.7090263750832794,3,0.6930488186025481,0.1766676470199437,2.7721952744101923,6,0.04523769981098206,0.9376440531259793,0.04523769981098206,1,0.5829127201541743,0.10809259053262879,1.7487381604625227,5,0.40708236011932974,0.04549015035186457,2.035411800596649,5,0.3350836712069816,0.10466522425402087,0.6701673424139633,4,0.2141524768409305,0.07420068120185734,0.428304953681861,1,0.0681340024079136,0.2301284771926094,0.0681340024079136,3,0.3430876615197814,0.1705232196793461,0.6861753230395627,4,11.252653927813164,88.74734607218684,27.388535031847134,25.265392781316347,47.346072186836516,65.11627906976744,34.883720930232556,58.47457627118644,41.52542372881356,52.46636771300448,47.53363228699551,792158.7131777301,2522969.472236258,-1730810.7590585279,1890.5935875363487,6021.406854979136,-4130.813267442787,68192.15457456725,68020.18195685603,138097.33381339605,215.93777409242227,205000.37551493372,68176.4093071784,356290.3799444789,1273165.9597169503,68200.07464035973,68094.51280962264,209516.15218382239
457,261.3302290122374,2.9484832451612815,14,2,261.3302290122374,113.41507400104913,93.27252220777154,761.6749296397938,2.672963296430978,24.389281139384615,27.062244435815593,4.637573680340021,13.694340539799695,18.331914220139716,5.380502871560701,12.160337286610869,17.54084015817157,3.6396047619094785,17.127818027861274,20.76742278977075,1.793493832446435,58.52811752962057,60.32161136206701,0.7937975472722582,1.700353970784946,2.4941515180572043,2.530402421508569,17.94519680884895,20.47559923035752,1.208156333854372,10.518263469290671,11.726419803145044,1.3382422653486756,2.2578450515135295,3.596087316862205,2.39346091605924,38.09574032448038,40.48920124053962,0.34627982582501626,26.533976623348437,26.88025644917345,5.636520726470492,9.306016288040484,14.942537014510975,1.9911836819527302,1.699009642477261,3.690193324429991,1.0304375570112825,14.631683993908771,15.662121550920052,2.7413700720089973,14.525028091111263,17.26639816312026,2.147292809186297,32.862804246982485,35.01009705616878,2.55845610088396,57.00980513599677,59.56826123688073,5.23195751411769,2.1877435915482146,7.419701105665904,1.6263855427031457,8.929626400816435,10.55601194351958,2.624630227391757,5,7.624630227391757,1.193081399272331,24.434270339439923,25.627351738712253,3.3731891946267982,5,8.373189194626798,4.667257484213092,10.716528607041418,15.38378609125451,6.314014227804781,14.652177786144716,20.966192013949495,0.9990735978542653,1.697515188774017,2.6965887866282823,0.3008028019781507,0.17480109522880818,0.3008028019781507,3,0.3373298097181871,0.11009474382863678,0.6746596194363742,3,0.6971001197373455,0.21693581849880397,2.788400478949382,6,0.06292716308791087,0.9270196939601755,0.06292716308791087,2,0.6131605235347434,0.11573931966518511,1.83948157060423,6,0.43872769392357797,0.048582071735982724,2.19363846961789,4,0.3423721956374324,0.08821695543191727,0.6847443912748647,3,0.3043175170821089,0.11901275831389067,0.6086350341642178,1,0.07156090312606403,0.15619566356287531,0.07156090312606403,3,0.35551786811314207,0.14399095626387626,0.7110357362262841,4,14.003944773175542,85.99605522682445,27.218934911242602,27.416173570019726,45.36489151873767,53.62318840579711,46.3768115942029,59.71223021582733,40.28776978417266,63.75545851528385,36.24454148471616,868861.6033626465,2758539.132767737,-1889677.5294050905,1901.228891384347,6036.19066251146,-4134.961771127113,74387.17216955568,74052.18939186775,151440.6848281489,217.37571284382614,222917.29377745607,74406.2167252239,389669.1704640407,1394122.7525346454,74194.27076807823,74099.91945937787,229032.08693649882
468,264.57379334478685,3.1078449121729492,15,7,264.57379334478685,99.9775650390342,102.3497906529883,634.9459442269945,1.3259001302068443,25.65360146564453,26.979501595851374,4.725816496445503,13.032362179411187,17.75817867585669,5.175205148189205,12.10295678866446,17.278161936853667,1.1416338026830948,16.48151886730547,17.623152669988567,2.0196863162533436,59.9299406072998,61.94962692355314,0.7475847191444001,1.6961753486980673,2.4437600678424674,1.5646934908015473,13.098919700042956,14.663613190844503,0.7770206155453835,10.45516577132894,11.232186386874323,1.418847898122232,2.153888299235759,3.572736197357991,3.0374372689735867,38.85649537937876,41.89393264835235,0.37948952901504324,25.812959472040262,26.192449001055305,4.989763808945084,12.219506231829829,17.209270040774914,2.165404281215444,1.6945001881048571,3.859904469320301,1.3150953025236805,14.833602816199278,16.148698118722958,2.009658733102533,14.30270704544582,16.312365778548354,1.6880340438128345,37.32817505219073,39.016209096003564,3.3890603567937747,63.57506763697399,66.96412799376776,5.521425561317876,2.2394066351630912,7.760832196480967,2.9539812473780644,8.323902795254028,11.277884042632092,2.8968380714578923,5,7.896838071457893,1.5150143894534223,22.690136182563137,24.20515057201656,4.491680799043139,5,9.49168079904314,5.024073063795619,10.733915220074755,15.757988283870374,6.221240816518523,14.89269358245027,21.113934398968794,1.1651810514251617,1.6953389118109483,2.86051996323611,0.29660586575199877,0.15694458026288058,0.29660586575199877,2,0.3238380562989287,0.12351319577661138,0.6476761125978574,3,0.714964148461048,0.26524990357935985,2.859856593844192,7,0.06494901082582415,0.9131243123484573,0.06494901082582415,2,0.6402484943891823,0.10697058622161303,1.920745483167547,5,0.40919418051846934,0.03974738668783458,2.0459709025923467,4,0.33924390483409705,0.1309229964496552,0.6784878096681941,3,0.28372743395945443,0.10204884455035944,0.5674548679189089,3,0.07498702507526467,0.159559422468746,0.07498702507526467,2,0.3747160195835004,0.15144838883794284,0.7494320391670009,3,13.825757575757574,86.17424242424242,27.893738140417458,29.03225806451613,43.07400379506641,53.06122448979592,46.93877551020408,52.28758169934641,47.712418300653596,59.03083700440529,40.969162995594715,887202.4385748571,2812955.7379524535,-1925753.2993775965,1895.7317063565322,6010.589183659089,-4114.857477302557,76063.04186028331,75817.9859657762,154851.75842002683,237.1155875394498,228009.66254033905,75818.44531197833,395336.5006695367,1421797.5724887075,75959.68295559865,76292.62726300336,232771.34488966412
458,240.08268647792934,2.7191951951457445,10,5,240.08268647792934,82.84162835894867,96.29601177312725,668.2571106770247,1.73870598857699,24.372707047392037,26.11141303596903,4.080409737211929,12.9020792121571,16.982488949369028,3.1264507440863993,12.102502921100355,15.228953665186754,2.0211492726823317,15.820598855049745,17.841748127732078,1.7449995304140513,56.233742615320594,57.97874214573464,0.7059418656823954,1.6942395073066372,2.4001813729890324,1.1408060744341535,15.406775143910597,16.54758121834475,1.0407038031624505,10.512089277803879,11.55279308096633,1.1206220118714552,2.2793657234581763,3.3999877353296313,2.381176244312868,39.15286428542088,41.53404052973375,0.16994206031872697,26.900241883531425,27.07018394385015,2.8309049827121457,8.079238837964036,10.910143820676181,1.6868266143497017,1.6930394427729505,3.379866057122652,1.3403895916107207,14.677409145770943,16.017798737381664,1.9178463526358829,16.81949200634038,18.737338358976263,1.7529753323762147,40.39294848579261,42.145923818168825,2.4115771174127594,61.1496209237897,63.56119804120246,5.506885080361823,2.3041296823871673,7.811014762748989,2.3604059253778615,8.02285470926795,10.383260634645811,2.0182089849558706,5,7.018208984955871,1.4504637657253616,25.881781808232486,27.33224557395785,3.2697893594496,5,8.2697893594496,4.451952324173054,10.482572039886518,14.934524364059573,6.571570556948027,15.197029716851935,21.76860027379996,1.0119401596397921,1.693749790138991,2.705689949778783,0.24458879908374356,0.1323669173480922,0.24458879908374356,2,0.3369288933264322,0.07651310928046694,0.6738577866528644,2,0.7001733350361085,0.2086137955992616,2.800693340144434,6,0.06476398352771061,0.902287412646095,0.06476398352771061,2,0.6157461871645877,0.07893264855641915,1.8472385614937632,4,0.4042558698411284,0.0317558530068189,2.021279349205642,4,0.29971782231176175,0.07675658057301195,0.5994356446235235,3,0.3003684201140236,0.09838802680217502,0.6007368402280472,2,0.0740293096576545,0.19187053034453855,0.0740293096576545,3,0.31575194856507693,0.10505410390654833,0.6315038971301539,4,13.533834586466165,86.46616541353383,25.6120527306968,29.37853107344633,45.00941619585687,57.35294117647059,42.64705882352941,60.0,40.0,60.66945606694561,39.33054393305439,874662.648615949,2765549.8172431197,-1890887.1686271708,1909.7437742706309,6038.318378260086,-4128.574603989456,74286.1062936138,74397.77994803125,150404.19060150417,226.68795864133796,222875.5313279704,74585.47621660755,388886.3777775713,1401558.4277490147,74811.5395007583,74363.33659369356,229154.3632757132
419,255.94902098615074,2.6843576355644454,15,6,255.94902098615074,115.17529399632326,77.71098500451262,699.1758501099539,1.8813348774212624,26.083610444435656,27.96494532185692,5.603148949923901,12.917021807947007,18.520170757870908,4.4094051692672105,12.072845871717785,16.482251040985,3.147269895078125,15.648040505064376,18.7953104001425,2.346246847922585,54.86269907556722,57.20894592348981,0.5588202146095802,1.6978954451811914,2.2567156597907716,1.731963224774865,15.193015531219563,16.924978755994427,0.7943345831277395,10.501139605737881,11.295474188865622,1.0601680687178205,2.1088074082550046,3.168975476972825,2.8491746258828643,37.41813935395516,40.26731397983802,0.4064858711896481,28.031149633073507,28.437635504263156,7.998186388801738,10.127170663035027,18.125357051836765,1.827808289529896,1.6914436535846142,3.51925194311451,1.0003185147875504,14.666869185501188,15.66718770028874,2.1168686811699042,12.77320589119277,14.890074572362675,2.194774471042328,35.54384990574384,37.73862437678617,2.606070085561597,66.90041054221113,69.50648062777273,5.709693136529977,2.0735085353476745,7.783201671877651,1.5812684272287374,8.170598421343621,9.751866848572359,2.7099425302881572,5,7.709942530288157,1.5257472981234848,24.533795976793368,26.059543274916855,2.0630275601807084,5,7.063027560180709,4.3046313292046685,9.974833550397758,14.279464879602425,5.297315142607928,14.223677400700709,19.520992543308637,0.8847811943397532,1.6997193914541087,2.5845005857938617,0.2927774895417836,0.17279222683070092,0.2927774895417836,2,0.32726169021228046,0.0889823362998324,0.6545233804245609,3,0.6647623036882253,0.19949523048602846,2.6590492147529012,5,0.055362516353386154,0.9348650610421992,0.055362516353386154,2,0.6116224268737952,0.10307973152555006,1.8348672806213855,4,0.4166023073729087,0.0552816334638446,2.0830115368645434,5,0.3131336003192219,0.14016436891462244,0.6262672006384438,3,0.24129447680900834,0.060075875003563324,0.4825889536180167,2,0.0683791635535644,0.16576538014472345,0.0683791635535644,3,0.34452021363276353,0.15093197254553878,0.6890404272655271,4,13.606911447084233,86.39308855291577,29.004329004329005,29.22077922077922,41.77489177489178,50.74626865671642,49.25373134328358,68.88888888888889,31.11111111111111,62.69430051813472,37.30569948186528,792594.8665428589,2529256.2697128933,-1736661.4031700343,1891.6345263552719,6036.411144899506,-4144.776618544234,68082.03521334115,68136.70590692159,138619.99930116523,218.017599329728,204158.23456118527,68056.55213394033,355717.76272433193,1280920.5002927042,68077.33192040154,67919.3320286417,209349.79803093077
445,266.99516937705084,2.9602485753257453,14,3,266.99516937705084,118.08765693417574,96.07283533194641,827.4987971171431,1.4124321232042876,27.247065663305033,28.659497786509323,4.894933510878944,13.389140669992512,18.284074180871457,3.0354109762430617,12.112698518237332,15.148109494480392,4.766010660087778,15.470549555074367,20.236560215162143,2.157137630346847,60.46155135100028,62.61868898134713,0.7772016403155545,1.6969405979036136,2.474142238219168,1.4429390140141247,16.979869164658226,18.422808178672348,1.235019907083149,10.479699498028255,11.714719405111403,1.5400300564623393,2.2400356661002765,3.7800657225626155,3.1130272344290515,37.87023438012551,40.983261614554564,0.39684732289029095,28.607996225153563,29.004843548043855,4.204289244553498,8.251553613153352,12.45584285770685,2.244545304697424,1.696240888599999,3.9407861932974235,1.4511152759418768,14.561656314440276,16.01277159038215,3.9269564159633226,12.71490068499755,16.641857100960873,1.897974580979695,42.76093237791894,44.65890695889863,3.358518223062438,65.62960202011675,68.98812024317918,5.462584608485566,2.3423635408043735,7.804948149289939,3.84540508272017,10.693109454065217,14.538514536785387,2.9714683432350264,5,7.971468343235026,2.2454294020152474,26.545384344625745,28.790813746640993,3.3352919127268374,5,8.335291912726838,5.005109273590291,9.719103070484486,14.724212344074775,7.020256119726911,14.44139588537588,21.46165200510279,1.153918703061989,1.693410953045193,2.847329656107182,0.2745558604483209,0.14269186754335833,0.2745558604483209,2,0.3356810825200252,0.06559311785757366,0.6713621650400504,3,0.7074877627435154,0.2733357961348394,2.8299510509740617,7,0.06577429664425921,0.841507026417289,0.06577429664425921,2,0.6159228952247188,0.1404546045241187,1.8477686856741564,5,0.4189003512343663,0.06034686696932854,2.0945017561718315,4,0.2751003661619778,0.08413052968948241,0.5502007323239556,4,0.2971711273401992,0.11429845570452465,0.5943422546803984,2,0.06815367939077813,0.19392163718310967,0.06815367939077813,2,0.3117438703609665,0.11676408465728692,0.623487740721933,3,15.109343936381709,84.89065606361828,24.900398406374503,29.282868525896415,45.81673306772908,59.199999999999996,40.8,61.904761904761905,38.095238095238095,61.30434782608696,38.69565217391304,847301.9046574581,2689728.123233081,-1842426.218575623,1904.049223949344,6044.332861197934,-4140.283637248591,72281.60952138266,72390.00915267043,146338.9699211826,223.22464948999587,216745.8929218381,72233.32666430341,377505.54764675046,1364600.461456311,72418.79097780293,72454.47837612378,222535.81194522575
463,258.1087053844372,2.961802652379182,13,2,258.1087053844372,102.96054805526984,110.96811834878463,677.2547932914349,2.0854377887138713,26.23059617972396,28.316033968437832,5.441354924105381,15.699345214205353,21.140700138310734,3.4468417867682257,12.159257843086776,15.606099629855002,4.63469666644203,14.17118080095281,18.80587746739484,2.4882861999254757,60.95547030836866,63.443756508294136,0.7277598650580624,1.7055322889380224,2.433292153996085,3.0578773651552655,14.317958385792354,17.37583575094762,1.2098326873257355,10.535270012210434,11.745102699536169,1.7083574349760584,2.2156525310358166,3.9240099660118752,2.9988817531209753,39.38775532858398,42.38663708170495,0.5377016514341221,26.371252519575624,26.908954171009746,5.566076479409026,10.178926309456562,15.745002788865587,2.7833942289712263,1.6972686859083088,4.4806629148795345,1.012571261894904,14.710054775354427,15.722626037249332,4.201540434836236,16.823683965942433,21.02522440077867,2.6144145628447535,35.285558355912904,37.899972918757655,4.331218509415164,62.11619245810824,66.4474109675234,5.923012128755122,2.0161552933517695,7.939167422106892,2.657445858841918,8.225046507592952,10.88249236643487,2.202222433371242,5,7.202222433371242,2.1520752027823686,25.111204837625763,27.263280040408134,3.1332922082014916,5,8.13329220820149,5.7363604117929405,10.377660414143055,16.114020825935995,7.892450828669325,16.29898926385473,24.191440092524054,1.3510731541488794,1.7024658943377868,3.053539048486666,0.2525050708250551,0.12457416866592481,0.2525050708250551,2,0.3668522600558606,0.06312157906420068,0.7337045201117212,3,0.7338078403961636,0.28627783970631365,2.9352313615846546,6,0.06764414633160669,0.9164829226654051,0.06764414633160669,2,0.6431050081246853,0.16405686051568585,1.929315024374056,5,0.4369419073415905,0.07719147832834167,2.1847095367079525,4,0.30122368474762107,0.10852854174853341,0.6024473694952421,3,0.28805622691067934,0.1111469546258943,0.5761124538213587,2,0.0714836878505937,0.16687342678712924,0.0714836878505937,2,0.36160718804117686,0.16090959973711016,0.7232143760823537,3,13.346228239845262,86.65377176015474,26.11218568665377,28.820116054158607,45.06769825918762,60.0,40.0,63.758389261744966,36.241610738255034,53.879310344827594,46.12068965517241,880299.9754857016,2787265.9766165577,-1906966.001130856,1901.2958433816448,6020.012908459088,-4118.717065077443,75264.55754270223,75482.17320717454,152543.89392500842,234.18173053116092,226088.007017425,75268.39232973749,392287.6926645099,1408127.1958169267,75222.1908788647,75100.1708879291,231647.5206157483
472,271.6665328947025,3.183226892181366,16,1,271.6665328947025,124.48546959484244,102.09760348719283,896.1629568500684,2.2711926807989227,28.34684816832502,30.618040849123943,4.695585157230383,16.422482230239375,21.118067387469754,3.932907320704207,12.131158668412608,16.064065989116813,2.8569673977835692,13.818807431476008,16.675774829259577,1.4300615334049196,53.604564982595484,55.03462651600041,0.7897782279782043,1.693696193191851,2.483474421170055,2.0758558925487063,14.875800067654085,16.95165596020279,1.1399395344983223,10.511460092618716,11.651399627117039,1.6221534019055899,2.1400147093757496,3.762168111281339,1.8456254882587717,38.7813258918682,40.62695138012697,0.2822311946197337,26.15972876565002,26.441959960269752,5.271122843716977,8.797722438850403,14.06884528256738,2.0193675986208612,1.697218327249775,3.716585925870636,1.3592445823876655,14.626131074122506,15.985375656510172,2.1556700766681325,13.153338683034058,15.309008759702191,2.00616053831306,36.333086727832466,38.33924726614552,3.6656915622577495,59.8762760687831,63.54196763104085,6.173807466605246,2.1095997210148516,8.283407187620098,2.389785996946121,8.542322384274799,10.93210838122092,2.7138167028746296,5,7.71381670287463,1.066349010226222,22.397620886084816,23.46396989631104,2.7398199782488764,5,7.739819978248876,5.507719126104146,10.756558851874175,16.26427797797832,7.637824981149622,15.20562448654768,22.8434494676973,1.3130071295127521,1.6935021583601273,3.0065092878728796,0.2743939159061607,0.17954732785191785,0.2743939159061607,3,0.335212842067059,0.07627458624596212,0.670425684134118,2,0.7186883064800844,0.2664722047744023,2.8747532259203377,6,0.06436698838503006,0.9074548784498729,0.06436698838503006,2,0.6317236093522213,0.11615969043837007,1.8951708280566637,5,0.41386375048630375,0.04027705600219909,2.069318752431519,4,0.31780458526179794,0.11154997594406,0.6356091705235959,4,0.26396707762225313,0.03955178674478052,0.5279341552445063,2,0.08235983721565421,0.15065931811146463,0.08235983721565421,3,0.3783600425502178,0.13712576001796528,0.7567200851004356,3,13.294797687861271,86.70520231213872,24.470134874759154,29.865125240847785,45.664739884393065,61.417322834645674,38.582677165354326,57.41935483870968,42.58064516129032,66.24472573839662,33.755274261603375,892905.3629784615,2856873.9108662694,-1963968.5478878077,1891.7486503780965,6052.698963699723,-4160.950313321627,76803.12372101363,76768.45914220356,155935.83522133983,233.9880796146458,230248.28501048108,76510.18961881023,401145.89846867294,1449518.3174459895,76864.07406643241,76809.06533433353,236036.67475737803
