combination_id,replication,arrival_rate,num_doctors,num_nurses,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Consultation_queue_time,Consultation_service_time,Pharmacy_queue_time,Pharmacy_service_time,Triage_queue_time,Triage_service_time,nursesT_utilization,nursesT_avg_queue,nursesT_max_queue,doctors_utilization,doctors_avg_queue,doctors_max_queue,nurses_utilization,nurses_avg_queue,nurses_max_queue,pharmacy_utilization,pharmacy_avg_queue,pharmacy_max_queue
0,0,3,3,2,2400,420,513,0.2590909090909091,22.045869823901796,3.0078943836283094,10.033906363581986,2.6883761995965556,5.1125681081141945,2.407864904585493,2.5134136154341835,0.6462620039683601,0.8949698099463711,14,0.5711000201194859,0.2635110370893736,7,0.695475071506563,0.46148590304763,8,0.5596697402503871,0.8676457116297938,18
0,1,3,3,2,2400,420,507,0.25606060606060604,18.271194782642887,1.8411616389911998,9.898823110722997,0.755190217309571,4.876965852153025,2.065779155706471,2.5366638142753173,0.6471696848828682,0.703577539053112,10,0.522243905731278,0.10914138770325686,5,0.6550725438630277,0.23289937903928573,6,0.49825725930608583,0.13096541115728863,8
0,2,3,3,2,2400,420,475,0.2398989898989899,17.96423977116693,0.8313906880862741,9.982687486452544,0.93323883746554,5.148389337408801,1.630711189723477,2.5153619864464702,0.6027377077918046,0.47312919841387135,10,0.4933914336187752,0.007954370735644211,2,0.6412406867592869,0.057798044932884735,3,0.5177422544016723,0.1538096427647267,8
0,3,3,3,2,2400,420,477,0.2409090909090909,22.58748296819491,4.889712060333555,10.057354316839238,1.6933749565359817,4.780912271207596,2.5381064849314754,2.4765807877706774,0.5949499804078044,0.9125260577238747,16,0.5452499696667176,0.5914515136664125,8,0.6601841067598202,0.7918990720538227,9,0.47534520956906595,0.4530086999730781,14
0,4,3,3,2,2400,420,499,0.25202020202020203,19.430748791986016,1.916598593717823,9.886307861400399,1.4271553921739326,4.7540429871734515,2.074436974400188,2.500984896501085,0.6323286355019486,0.6991643924888389,12,0.5468175365979713,0.08766172594698851,5,0.6796036659256096,0.23612087456204425,6,0.5089943763515045,0.40874999471161216,10
1,0,3,3,3,2400,420,483,0.24393939393939393,19.309894890465493,1.9167749122041478,10.069671778654481,1.1702679857481422,4.599181815407385,2.311336570664423,2.4924154144619517,0.6115644790822233,0.8230728956319828,16,0.5374620625006447,0.07846442566531411,5,0.6689058626970401,0.22159508757677177,6,0.4684224324927151,0.28191771221301465,8
1,1,3,3,3,2400,420,485,0.24494949494949494,17.86100702421061,1.309683190703369,9.909751173713152,1.0016827267827764,5.027537463953005,1.6149529337137583,2.4951260644077764,0.6146536928957103,0.5166749088689323,10,0.5114260600103187,0.032260747267235095,4,0.6491165812218865,0.1306152436428508,5,0.49005794471865133,0.19726444567023713,8
1,2,3,3,3,2400,420,498,0.2515151515151515,20.17972244363649,1.106661970058057,9.871778483316385,2.734790098914173,5.090210940779518,1.7499334788638388,2.4994680854867317,0.6301891493025115,0.5515874843614159,10,0.5381106286818457,0.013324338845978957,2,0.6917839652836073,0.09041495772253931,3,0.5558865471276732,1.0156269882606406,16
1,3,3,3,3,2400,420,500,0.25252525252525254,19.196431091240456,1.395479473210819,10.03531434409247,1.0283525131292997,4.929484876221069,1.8643611133314377,2.502131229293016,0.6335419858239972,0.6162290755407484,10,0.5601837380298744,0.04643325386155738,4,0.7147055600610571,0.14305152579788322,5,0.5397251033799634,0.23526294063518335,10
1,4,3,3,3,2400,420,489,0.24696969696969698,17.394333741344628,1.1833974778743441,9.809993178141971,1.1184081157190862,4.902190049883316,1.5662573197971619,2.501647066607791,0.6205946789621711,0.4576297071886346,12,0.48766599031918545,0.035769477957383014,5,0.6248153986222577,0.11198724336735254,6,0.48577943802916085,0.2663978644166249,10
